clone,clone_type,juju,copper,rep,induction_1,induction_1_pedestal,induction_1_nteeth,induction_2,induction_2_pedestal,induction_2_nteeth,induction_3,induction_3_pedestal,induction_3_nteeth,induction_4,induction_4_pedestal,induction_4_nteeth,induction_5,induction_5_pedestal,induction_5_nteeth,max_induction_total_I1,max_induction_total_I2,max_induction_pedestal_I1,max_induction_pedestal_I2,max_induction_nteeth_I1,max_induction_nteeth_I2,size_1,size_2,size_3,size_4,size_5,size_maturity,age_maturity,survival_time,alive_dead,somaticGrowth_maturity,somaticGrowth_3d,somaticGrowth_4d
D86A,low,0.50,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0.768,0.973,1.214,1.339,NA,NA,6,1,NA,NA,NA
D86A,low,0.50,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,NA,NA,NA,NA,1.726,6,6,0,0.138028251,NA,NA
D86A,low,0.50,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759,NA,NA,NA,NA,1.867,7,7,0,0.128583767,NA,NA
D86A,low,0.00,10,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.793,0.940,1.057,1.175,1.510,2.008,9,9,0,0.10323014,0.032,0.044
D86A,low,0.00,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0.933,1.015,1.241,1.698,NA,NA,6,1,NA,NA,NA
D86A,low,0.00,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797,1.015,1.075,1.135,1.470,2.035,8,8,0,0.117174552,0.037,0.044
D86A,low,0.00,10,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.811,0.968,1.058,1.278,1.743,2.287,9,9,0,0.115192016,0.030,0.051
D86A,low,0.00,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701,0.758,NA,NA,NA,1.769,9,9,0,0.102851312,NA,NA
D86A,low,0.10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763,NA,NA,NA,NA,1.977,10,10,0,0.095207779,NA,NA
D86A,low,0.10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738,NA,NA,NA,NA,1.853,9,9,0,0.102290822,NA,NA
D86A,low,0.10,10,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.760,NA,NA,NA,NA,1.856,9,9,0,0.09920672,NA,NA
D86A,low,0.10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746,NA,NA,NA,NA,1.840,10,10,0,0.090279525,NA,NA
D86A,low,0.25,10,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0.721,0.801,0.974,1.119,1.438,NA,NA,6,1,NA,NA,NA
D86A,low,0.25,10,2,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0.581,0.789,0.914,1.193,1.366,NA,NA,6,1,NA,NA,NA
D86A,low,0.25,10,3,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0.717,0.868,1.113,1.476,1.638,NA,NA,6,1,NA,NA,NA
D86A,low,0.25,10,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.709,0.826,0.974,1.356,1.517,2.198,8,8,0,0.141430951,0.040,0.081
D86A,low,0.25,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,NA,NA,NA,NA,1.844,10,10,0,0.093352075,NA,NA
D86A,low,0.25,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724,NA,NA,NA,NA,1.711,7,7,0,0.122863126,NA,NA
D86A,low,0.25,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745,NA,NA,NA,NA,1.860,10,10,0,0.091494755,NA,NA
D86A,low,0.50,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.900,1.265,1.307,1.541,NA,NA,6,1,NA,NA,NA
D86A,low,0.50,10,2,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0.887,1.080,1.565,1.857,1.976,2.160,7,7,0,0.127145503,0.081,0.106
D86A,low,0.50,10,3,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,0.849,0.996,1.440,1.725,1.872,2.127,7,7,0,0.131201233,0.075,0.101
